Source:,C:\buspirate5-hardware\pcb\REV10a\REV10a.kicad_sch,,,,,,,,,,,,,,
Date:,2/22/2024 12:56:02 PM,,,,,,,,,,,,,,
Tool:,Eeschema 7.0.7,,,,,,,,,,,,,,
Generator:,C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py,,,,,,,,,,,,,,
Component Count:,220,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Collated Components:,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,DNP,Field4,Field5,Field6,RMB,Sim.Device,Sim.Pins,Supplier,USD
1,58,"C103, C110, C111, C112, C113, C114, C115, C116, C117, C118, C121, C301, C302, C303, C304, C305, C306, C307, C308, C309, C310, C311, C312, C313, C314, C315, C316, C403, C406, C414, C415, C416, C501, C502, C503, C506, C508, C510, C602, C605, C701, C702, C703, C704, C705, C706, C707, C708, C710, C712, C713, C714, C715, C716, C717, C718, C719, C720",0.1uF,Device:C_Small,Capacitor_SMD:C_0402_1005Metric,~,,,,,0.00628,,,https://item.szlcsc.com/1877.html,
2,10,"C104, C107, C108, C109, C405, C413, C504, C507, C509, C601",2.2uF,Device:C_Small,Capacitor_SMD:C_0402_1005Metric,~,,,,,0.043101,,,https://item.szlcsc.com/108589.html,
3,2,"C105, C106",15pF,Device:C_Small,Capacitor_SMD:C_0402_1005Metric,~,,,,,0.022142,,,https://item.szlcsc.com/306263.html,
4,6,"C201, C202, C401, C402, C404, C407",4.7uF,Device:C_Small,Capacitor_SMD:C_0402_1005Metric,~,,,,,0.037726,,,https://item.szlcsc.com/1877.html,
5,1,C408,120pF,Device:C_Small,Capacitor_SMD:C_0402_1005Metric,~,,,,,0.037726,,,https://item.szlcsc.com/1877.html,
6,1,C603,DNF,Device:C_Small,Capacitor_SMD:C_0402_1005Metric,~,,,,,,,,,
7,4,"D401, D601, D602, D603",1N4148WT,Diode:1N4148WS,Diode_SMD:D_SOD-523,https://www.vishay.com/docs/85751/1n4148ws.pdf,,,,,0.182079,D,1=K 2=A,https://item.szlcsc.com/120141.html,
8,5,"D500, D501, D502, D503, D504",BAS40T-05,Diode:BAT54C,Package_TO_SOT_SMD:SOT-523,http://www.diodes.com/_files/datasheets/ds11005.pdf,,,,,,,,,
9,5,"FID1, FID2, FID3, FID4, FID5",Fiducial,Mechanical:Fiducial,Fiducial:Fiducial_1mm_Mask2mm,~,,,,,,,,,
10,4,"H1, H2, H3, H4",MountingHole,Mechanical:MountingHole,MountingHole:MountingHole_3.2mm_M3,~,,,,,,,,,
11,1,J201,Conn_01x03,Connector_Generic:Conn_01x03,Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical,~,,,,,,,,,
12,1,J202,TYPE-C-31-M-12,:TYPE-C-31-M-12_2,usb-c:HRO_TYPE-C-31-M-12,HRO Electronics,,3.31mm,A,Manufacturer Recommendations,,,,,
13,1,J301,Conn_01x10,Connector_Generic:Conn_01x10,Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical,~,,,,,,,,,
14,1,J302,Conn_01x09,Connector_Generic:Conn_01x09,Connector_JST:JST_SH_SM09B-SRSS-TB_1x09-1MP_P1.00mm_Horizontal,~,,,,,,,,,
15,1,L201,1.5A,kicad5-device:Ferrite_Bead_Small,Inductor_SMD:L_0805_2012Metric,~,,,,,0.175802	0.175802,,,https://item.szlcsc.com/263551.html,
16,1,LCD201,TFT_20_QT200H1201,dp-lcd:TFT_20_QT200H1201,dp-lcd:TFT_20_QT200H1201,,,,,,,,,,
17,8,"LED701, LED704, LED707, LED708, LED712, LED716, LED717, LED720",SK6812-side-a_b,dp-LED:SK6812-side-a_b,dp-LED:SK6812-side-a_b,,,,,,,,,,
18,10,"LED702, LED703, LED705, LED706, LED710, LED713, LED714, LED715, LED718, LED719",SK6812-mini-e,dp-LED:SK6812-mini-e,dp-LED:SK6812-mini-e,,,,,,0.5296,,,https://item.szlcsc.com/542109.html,
19,1,logo1,fcc_logo,DP_logo_kicad:fcc_logo,dp-logo:logo_fcc,,,,,,,,,,
20,1,Q202,MMBT7002K,Transistor_FET:BSS138,Package_TO_SOT_SMD:SOT-23,https://www.fairchildsemi.com/datasheets/BS/BSS138.pdf,,,,,0.140017,,,https://item.szlcsc.com/544697.html,
21,10,"Q300, Q301, Q302, Q303, Q304, Q305, Q306, Q307, Q402, Q602",SI2301,Transistor_FET:BSS84,Package_TO_SOT_SMD:SOT-523,http://assets.nexperia.com/documents/data-sheet/BSS84.pdf,,,,,0.232494,,,https://item.szlcsc.com/76686.html,
22,1,Q401,BCM857,kicad5-device:Q_DUAL_PNP_PNP_E1B1C2E2B2C1,Package_TO_SOT_SMD:SOT-363_SC-70-6,~,,,,,,,,,
23,1,Q601,MMDT3906,kicad5-device:Q_DUAL_PNP_PNP_E1B1C2E2B2C1,Package_TO_SOT_SMD:SOT-363_SC-70-6,~,,,,,,,,,
24,4,"R101, R502, R602, R603",1K,Device:R_Small,Resistor_SMD:R_0402_1005Metric,~,,,,,0.006373,,,https://item.szlcsc.com/116008.html,
25,1,R102,DNF,Device:R_Small,Resistor_SMD:R_0402_1005Metric,~,,,,,0.006373,,,https://item.szlcsc.com/116008.html,
26,4,"R103, R208, R608, R612",200R,Device:R_Small,Resistor_SMD:R_0402_1005Metric,~,,,,,0.006373,,,https://item.szlcsc.com/116008.html,
27,2,"R201, R204",5.1K,Device:R_Small,Resistor_SMD:R_0402_1005Metric,~,,,,,0.0065,,,https://item.szlcsc.com/107087.html,
28,2,"R202, R203",22R,Device:R_Small,Resistor_SMD:R_0402_1005Metric,~,,,,,0.006505,,,https://item.szlcsc.com/116009.html,
29,1,R209,33R,Device:R_Small,Resistor_SMD:R_0805_2012Metric,~,,,,,0.019315,,,https://item.szlcsc.com/139271.html,
30,14,"R301, R313, R402, R406, R407, R410, R414, R415, R501, R606, R609, R610, R611, R613",10K,Device:R_Small,Resistor_SMD:R_0402_1005Metric,~,,,,,0.005749,,,https://item.szlcsc.com/61543.html,
31,2,"R316, R320",510R,Device:R_Small,Resistor_SMD:R_0402_1005Metric,~,,,,,0.004864,,,https://item.szlcsc.com/61542.html,
32,3,"R319, R401, R412",100K,Device:R_Small,Resistor_SMD:R_0402_1005Metric,~,,,,,0.004864,,,https://item.szlcsc.com/61542.html,
33,1,R403,102K,Device:R_Small,Resistor_SMD:R_0402_1005Metric,~,,,,,0.005944,,,https://item.szlcsc.com/174835.html,
34,1,R404,133K,Device:R_Small,Resistor_SMD:R_0402_1005Metric,~,,,,,0.005749,,,https://item.szlcsc.com/61543.html,
35,5,"R405, R408, R409, R604, R605",33K,Device:R_Small,Resistor_SMD:R_0402_1005Metric,~,,,,,0.004864,,,https://item.szlcsc.com/61542.html,
36,1,R601,0R2,Device:R,Resistor_SMD:R_2512_6332Metric_Pad1.40x3.35mm_HandSolder,~,,,,,0.418328,,,https://item.szlcsc.com/464030.html,
37,4,"RN301, RN305, RN306, RN309",330R,dp-rarray:R_Array,Resistor_SMD:R_Array_Convex_4x0402,http://www.vishay.com/docs/31509/csc.pdf,,,,,0.033552,,,https://item.szlcsc.com/26241.html,
38,4,"RN302, RN304, RN307, RN310",1M,dp-rarray:R_Array,Resistor_SMD:R_Array_Convex_4x0402,http://www.vishay.com/docs/31509/csc.pdf,,,,,0.03666,,,https://item.szlcsc.com/635571.html,
39,4,"RN303, RN308, RN317, RN318",100K,dp-rarray:R_Array,Resistor_SMD:R_Array_Convex_4x0402,http://www.vishay.com/docs/31509/csc.pdf,,,,,0.020173,,,https://item.szlcsc.com/728291.html,
40,2,"RN311, RN312",10K,dp-rarray:R_Array,Resistor_SMD:R_Array_Convex_4x0402,http://www.vishay.com/docs/31509/csc.pdf,,,,,0.034572,,,https://item.szlcsc.com/45893.html,
41,4,"RN315, RN400, RN401, RN402",510R,dp-rarray:R_Array,Resistor_SMD:R_Array_Convex_4x0402,http://www.vishay.com/docs/31509/csc.pdf,,,,,0.033552,,,https://item.szlcsc.com/26241.html,
42,1,SW101,SW_SPST,Switch:SW_SPST,Button_Switch_SMD:SW_SPST_PTS810,~,,,,,,,,,
43,1,SW102,4P_button_sw,dp-switch:4P_button_sw,dp-switch:GT-TC026X-HXXX-LX,,,,,,,,,,
44,1,U102,W25Q128JVSIQ,dp-memory:xm25qh128a,Package_SO:SOP-8_5.28x5.23mm_P1.27mm,,,,,,9.85,,,https://item.szlcsc.com/98729.html,
45,1,U103,RP2040,RP_Silicon:RP2040,RP_Silicon:RP2040-QFN-56,,,,,,,,,,1
46,1,U105,MT29F1G01ABAFDWB,dp-memory:MT29F1G01ABAFDWB,dp-memory:U-PDFN-8,,,,,,,,,,
47,8,"U301, U302, U303, U304, U305, U306, U307, U308",AiP74LVC1T45GC363.TR,Logic_LevelTranslator:SN74LVC1T45DCK,Package_TO_SOT_SMD:SOT-363_SC-70-6,http://www.ti.com/lit/ds/symlink/sn74lvc1t45.pdf,,,,,1.33,,,https://item.szlcsc.com/9911.html,
48,1,U401,ME6211A33PG-N,Regulator_Linear:AP2204RA-3.3,Package_TO_SOT_SMD:SOT-89-3,https://www.diodes.com/assets/Datasheets/AP2204.pdf,,,,,,,,,
49,1,U402,CD4067,74xx:CD74HC4067M,Package_SO:TSSOP-24_4.4x7.8mm_P0.65mm,http://www.ti.com/lit/ds/symlink/cd74hc4067.pdf,,,,,,,,https://eu.mouser.com/ProductDetail/Nexperia/74HCT4067PW118,0.762
50,1,U403,AP2127,dp-vreg:MCP1824,Package_TO_SOT_SMD:SOT-23-5,,,,,,2.68,,, https://item.szlcsc.com/157049.html,
51,3,"U404, U506, U603",LMV321,Comparator:LMV331,Package_TO_SOT_SMD:SOT-23-5,http://www.ti.com/lit/ds/symlink/lmv331.pdf,,,,,,,,,
52,2,"U501, U502",AIP74HC595TA,74xx:74AHCT595,Package_SO:TSSOP-16_4.4x5mm_P0.65mm,https://assets.nexperia.com/documents/data-sheet/74AHC_AHCT595.pdf,,,,,0.8014,,,https://item.szlcsc.com/163616.html,
53,1,U503,AIP74HCT245TA,74xx:74HC245,Package_SO:TSSOP-20_4.4x6.5mm_P0.65mm,http://www.ti.com/lit/gpn/sn74HC245,,,,,,,,,
54,2,"U504, U505",LMV324,Amplifier_Operational:LM324,Package_SO:TSSOP-14_4.4x5mm_P0.65mm,http://www.ti.com/lit/ds/symlink/lm2902-n.pdf,,,,,,,,,
55,1,U601,LMV321A,Comparator:LMV331,Package_TO_SOT_SMD:SOT-23-5,http://www.ti.com/lit/ds/symlink/lmv331.pdf,,,,,,,,,
56,1,U602,LMV331,Comparator:LMV331,Package_TO_SOT_SMD:SOT-23-5,http://www.ti.com/lit/ds/symlink/lmv331.pdf,,,,,,,,,
57,1,Y101,12Mhz,Device:Crystal_GND24_Small,Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm,~,,,,,0.8432,,,https://item.szlcsc.com/260706.html,
